Entity,Depression,Schizophrenia,Bipolar_Disorder,Eating_Disorders,Anxiety_Disorders,Drug_Use_Disorders,Alcohol_Use_Disorders,Code,Continent,Year
Bhutan,3.439333738,0.26763721,0.595887022,0.172339625,3.80143152,0.534974458,2.374372881,BTN,Asia,2017
Bolivia,3.085904793,0.193935504,0.854218134,0.305250563,4.243625161,0.886176711,1.601922707,BOL,South America,2017
Bosnia and Herzegovina,2.319609956,0.200702951,0.718189698,0.172474446,3.402636085,0.433415503,2.828633321,BIH,Europe,2017
Botswana,3.968129457,0.181927803,0.638942609,0.227732856,3.506339034,0.752750451,1.61433919,BWA,Africa,2017
Brazil,3.29736759,0.20553404,1.106914712,0.277050765,6.069179504,1.061681334,2.683580505,BRA,South America,2017
Brunei,2.561982907,0.272367501,0.629945103,0.536251851,3.621414495,0.906696953,0.791919194,BRN,Asia,2017
Bulgaria,2.543140691,0.202455337,0.630776129,0.202411206,3.587520801,0.704289177,1.820826143,BGR,Europe,2017
Burkina Faso,3.694253592,0.164744559,0.622073535,0.113354225,2.900238994,0.444063303,1.001796072,BFA,Africa,2017
Burundi,3.721227706,0.154394081,0.613041852,0.090802341,3.585760098,0.500084321,1.569309325,BDI,Africa,2017
Cambodia,3.094945297,0.208266148,0.509922388,0.108378572,3.289745188,0.570337425,0.844038411,KHM,Asia,2017
Cameroon,3.745646542,0.170795519,0.628202387,0.133790102,2.908662652,0.588020694,1.024226612,CMR,Africa,2017
Canada,3.988792073,0.315588104,0.716413354,0.477304277,5.178218395,2.276228814,1.617937042,CAN,North America,2017
Cape Verde,4.082451236,0.189879536,0.710183999,0.169251987,2.998977228,0.630609047,1.007670398,CPV,Africa,2017
Caribbean,3.065058966,0.193846543,0.884517245,0.259210421,4.563040976,0.73303612,1.662186537,,North America,2017
Chad,3.874837439,0.16801937,0.626774721,0.122128894,2.88704925,0.457399959,0.943401227,TCD,Africa,2017
Chile,4.057723142,0.201430397,0.790591417,0.416122857,6.272084313,1.257150396,2.449470218,CHL,South America,2017
China,3.311305897,0.338174073,0.32190603,0.159587521,3.030968888,1.113943153,1.220902816,CHN,Asia,2017
Colombia,2.196154116,0.207210793,0.768913491,0.260257217,2.514802773,1.075525939,1.758512404,COL,South America,2017
Comoros,3.330114313,0.170251723,0.659469465,0.110911467,3.649877002,0.505442971,1.509998328,COM,Africa,2017
Dem. Rep. Congo,4.008290792,0.169760115,0.614345498,0.161674795,3.270744943,0.56030569,1.448790478,COG,Africa,2017
Costa Rica,2.904787533,0.213890053,0.843752675,0.289341842,2.936829335,0.778956239,1.472594365,CRI,North America,2017
Côte d'Ivoire,3.337988904,0.170171182,0.620476935,0.136217032,2.879312053,0.503956745,1.009973842,CIV,Africa,2017
Croatia,2.779841732,0.207565418,0.720555576,0.217975136,3.447605933,0.713971201,2.080532342,HRV,Europe,2017
Cuba,3.319130914,0.204500994,0.943329309,0.263159253,4.62359397,0.777999682,1.734783347,CUB,North America,2017
Cyprus,3.32811079,0.252271954,0.937285429,0.506721279,5.304908404,0.58020757,1.110354263,CYP,Asia,2017
Czech Republic,2.675387466,0.209989062,0.721569535,0.242372761,3.443600991,0.978265047,2.097172456,CZE,Europe,2017
Democratic Republic of Congo,3.956871764,0.156882785,0.622140919,0.092541978,3.25156993,0.517093641,1.341112729,COD,Africa,2017
Denmark,3.291885325,0.254016903,1.005493541,0.540025325,5.31463455,0.895411338,1.730723133,DNK,Europe,2017
Djibouti,3.609010129,0.175443946,0.657574537,0.136660106,3.570649677,0.526750457,1.592237073,DJI,Africa,2017
Dominica,2.629648736,0.199904066,0.888732141,0.277126535,4.544903735,0.895649976,2.100689063,DMA,North America,2017
Dominican Rep,2.978522526,0.19946174,0.891063094,0.303058121,4.55830899,0.680032681,1.576405452,DOM,North America,2017
Ecuador,2.977117258,0.20291159,0.882945346,0.363732808,4.305357159,0.668945807,1.706748127,ECU,South America,2017
Egypt,3.238181852,0.188117075,0.77582626,0.192942038,4.361022807,1.474476438,0.664616144,EGY,Africa,2017
El Salvador,3.025887217,0.197831003,0.770584701,0.243873188,2.945220376,0.61885954,2.655430237,SLV,North America,2017
England,4.119392047,0.266006775,1.107005682,0.552932304,4.534930274,1.660924239,1.792119864,,Europe,2017
Eq. Guinea,4.167089986,0.185333606,0.623349904,0.277336568,3.278990593,0.563293149,1.480768642,GNQ,Africa,2017
Eritrea,3.867376703,0.158711074,0.617568777,0.10250252,3.66566808,0.52482066,1.732617354,ERI,Africa,2017
Estonia,3.848854211,0.203977643,0.708240562,0.250270742,2.962243765,1.126664903,4.713617097,EST,Europe,2017
Ethiopia,3.816265969,0.164823053,0.627391281,0.109816929,3.731997168,0.498949273,1.863893416,ETH,Africa,2017
Fiji,3.171898099,0.238571847,0.452605478,0.14725265,3.282447494,0.757352302,1.107545128,FJI,Oceania,2017
Finland,4.792735606,0.257444378,1.005826257,0.594937627,3.752061878,0.951914365,2.605060902,FIN,Europe,2017
France,4.253807263,0.256237905,0.958198978,0.573755287,6.626710211,1.179268316,1.418957891,ATF,Europe,2017
Gabon,4.049029034,0.181545885,0.638332502,0.226577374,3.299512251,0.571613557,1.466265428,GAB,Africa,2017
Gambia,4.158517458,0.169676837,0.646284646,0.113298039,2.913375786,0.501446643,0.943237948,GMB,Africa,2017
Georgia,2.797378663,0.196775608,0.709098567,0.171640059,2.602455661,0.494333416,2.08307329,GEO,Asia,2017
Germany,3.959866092,0.252269314,0.776761886,0.522066337,6.540495803,0.88382705,1.806474683,DEU,Europe,2017
Ghana,3.396646689,0.175605915,0.643099202,0.147451582,2.936416281,0.62591486,1.008256614,GHA,Africa,2017
Greece,4.185863699,0.252700836,0.948926107,0.55932357,5.790227945,0.552601555,1.124256965,GRC,Europe,2017
Greenland,6.233634886,0.322250024,0.595420875,0.539068508,5.722163064,1.994755059,3.086687777,GRL,North America,2017
Grenada,2.770065625,0.199821964,0.893647257,0.288173878,4.530095404,0.774008287,1.745439484,GRD,North America,2017
Guam,3.492855524,0.261254279,0.478222662,0.253393068,3.308606015,0.806330191,1.276183885,GUM,Oceania,2017
Guatemala,3.216025169,0.193343638,0.743331658,0.232110381,2.906946651,0.678176248,2.642026432,GTM,North America,2017
Guinea,3.560932911,0.166392762,0.629857427,0.112388231,2.901304287,0.456326291,0.946132979,GIN,Africa,2017
Guinea-Bissau,3.665430394,0.163117115,0.614791356,0.110998627,2.915176813,0.482693171,0.979754058,GNB,Africa,2017
Guyana,4.141723621,0.186468101,0.84608849,0.237636119,4.547027007,0.732391495,2.064557448,GUY,South America,2017
Haiti,2.957782093,0.172298258,0.801382123,0.160789636,4.518425341,0.643969528,1.649576749,HTI,North America,2017
Honduras,2.752301125,0.189815206,0.752072349,0.203338878,2.875551355,0.705705457,1.768606637,HND,North America,2017
Hungary,2.765242179,0.205524223,0.703435451,0.23768639,3.454656625,0.699141711,2.107393596,HUN,Europe,2017
Iceland,3.361665212,0.257616535,0.971121595,0.558013746,5.290987801,0.725035907,1.249028592,ISL,Europe,2017
India,3.529852597,0.257864001,0.55711156,0.157758125,3.301938925,0.527410723,1.126606726,IND,Asia,2017
Indonesia,2.642735675,0.230297325,0.540591106,0.148781505,3.280219792,0.588078674,0.650505679,IDN,Asia,2017
Iran,5.116344629,0.201307455,0.815760126,0.231894488,6.900899934,1.971660287,0.579777575,IRN,Asia,2017
Iraq,3.891162887,0.189728605,0.666430859,0.208672061,4.722673341,1.569569256,0.651613981,IRQ,Asia,2017
Ireland,4.250920997,0.328007667,0.805431962,0.559994695,5.839092485,1.053862484,2.109847905,IRL,Europe,2017
Israel,3.832220709,0.259139331,0.924802467,0.461175311,3.063078073,0.718220106,0.498381095,ISR,Asia,2017
Italy,3.464256117,0.236197452,0.946257131,0.626783643,5.626121065,1.148015082,0.462936855,ITA,Europe,2017
Jamaica,2.592384553,0.199270487,0.9276051,0.259650414,4.577527559,0.947370998,1.427645925,JAM,North America,2017
Japan,3.341564631,0.295577743,0.688353608,0.454378609,3.569054285,0.918162656,0.582879511,JPN,Asia,2017
Jordan,3.563602291,0.193885619,0.811332176,0.188925296,4.888350296,1.620545053,0.657091729,JOR,Asia,2017
Kazakhstan,3.511774879,0.199892478,0.667337986,0.227917724,2.607805513,0.605454872,3.369005858,KAZ,Asia,2017
Kenya,3.508418597,0.170836264,0.641478214,0.135004853,3.643352824,0.486993955,1.247794258,KEN,Africa,2017
Kiribati,3.172753632,0.20810778,0.424040748,0.09361351,3.284167632,0.720942236,1.051227334,KIR,Oceania,2017
Kuwait,3.635678621,0.214850668,0.865133723,0.346579533,4.967279349,1.59454276,0.677424512,KWT,Asia,2017
Kyrgyzstan,3.053673028,0.182096871,0.66421453,0.127525301,2.562741581,0.511649635,2.733093398,KGZ,Asia,2017
Laos,2.912431366,0.216455451,0.533567665,0.128172294,4.224293772,0.659138941,0.918019231,LAO,Asia,2017
Latvia,3.499570662,0.199509601,0.696349411,0.225275374,2.944949817,1.041688135,4.408781236,LVA,Europe,2017
Lebanon,3.676734231,0.198375562,0.996153045,0.219049411,6.074355557,2.227297156,0.659928942,LBN,Asia,2017
Lesotho,5.636660704,0.161376284,0.606321245,0.13680087,3.481456059,0.768874765,1.654872374,LSO,Africa,2017
Liberia,3.803038191,0.161454262,0.63047941,0.091591323,2.881373499,0.5152675,0.950462397,LBR,Africa,2017
Libya,3.804791052,0.192848518,0.803736718,0.195726049,4.97646043,2.607753197,0.680013754,LBY,Africa,2017
Lithuania,4.143254421,0.200982415,0.700277935,0.234094901,2.937224166,0.631073204,4.428001023,LTU,Europe,2017
Luxembourg,3.617718678,0.263622241,0.93468081,0.737916536,5.316516035,0.933752573,1.353234418,LUX,Europe,2017
Macedonia,2.332385753,0.202672124,0.711224994,0.184161381,3.391595424,0.498625425,1.869546398,MKD,Europe,2017
Madagascar,3.708514219,0.164280109,0.632774119,0.106417185,3.583301279,0.496778907,1.508369284,MDG,Africa,2017
Malawi,3.446137021,0.154532583,0.606166317,0.100349372,3.660937095,0.509184014,1.604984325,MWI,Africa,2017
Malaysia,3.520853917,0.252984361,0.579224016,0.201461544,4.340782526,0.673643628,0.64496931,MYS,Asia,2017
Maldives,3.099969686,0.244707357,0.565133045,0.15721364,3.165131868,0.696757339,0.834550755,MDV,Asia,2017
Mali,3.007420019,0.167750885,0.62879829,0.116674521,2.888671597,0.44588808,0.904050384,MLI,Africa,2017
Malta,3.374137332,0.257631743,0.962950218,0.519139982,5.317984358,0.864663371,1.109283929,MLT,Europe,2017
Marshall Islands,3.104347396,0.21861606,0.429061752,0.111895399,3.238920803,0.774687856,1.224633248,MHL,Oceania,2017
Mauritania,3.094160682,0.179205385,0.662199721,0.145275716,2.93346051,0.506015334,0.92897714,MRT,Africa,2017
Mauritius,3.478524341,0.2421848,0.564757216,0.184432748,3.322963457,0.71079035,1.303687888,MUS,Africa,2017
Mexico,2.78880657,0.211765456,0.818921348,0.316975449,3.186326412,0.820863258,1.729604254,MEX,North America,2017
Micronesia (country),3.134619392,0.21929847,0.437294029,0.109113093,3.254044983,0.774408001,1.180539798,FSM,Oceania,2017
Middle SDI,3.177826819,0.26010244,0.548530163,0.18448632,3.34245637,0.840858759,1.241515752,,Multiple,2017
Moldova,3.432549279,0.183710488,0.680890912,0.141700868,2.887918371,0.661415922,4.074256301,MDA,Europe,2017
Mongolia,3.525487517,0.190647637,0.65460086,0.18015703,2.575179896,0.530314852,3.478107604,MNG,Asia,2017
Montenegro,2.558640176,0.2032476,0.712896242,0.194161148,3.423966544,0.602649704,1.848101945,MNE,Europe,2017
Morocco,5.413573185,0.186616021,0.781827348,0.175569111,4.986825553,1.636353275,0.574866182,MAR,Africa,2017
Mozambique,3.901795226,0.156176373,0.611099452,0.103227219,3.672136391,0.528698797,1.708855541,MOZ,Africa,2017
Myanmar,2.300981571,0.213915171,0.510455858,0.125738283,3.313935835,0.576854931,0.870378187,MMR,Asia,2017
Namibia,3.459970367,0.177365159,0.632490657,0.200987331,3.508307546,0.775731492,1.668761608,NAM,Africa,2017
Nepal,3.606938526,0.246394001,0.584926503,0.128494755,3.879454605,0.501677946,1.527133069,NPL,Asia,2017
Netherlands,4.026854403,0.358487188,0.947300268,0.467844099,6.620242194,0.988877229,0.776602485,NLD,Europe,2017
New Zealand,3.971265369,0.341050949,1.206087982,0.673290028,8.539931497,2.049319077,2.193405454,NZL,Oceania,2017
Nicaragua,2.854083914,0.199562758,0.79928037,0.205876035,2.912300031,0.599888594,2.047304594,NIC,North America,2017
Niger,3.463055286,0.163844826,0.631572448,0.096115906,2.891358021,0.462455372,0.911306392,NER,,2017
Nigeria,3.917691287,0.182126449,0.644635149,0.163373452,2.915836965,0.461802324,0.964766678,NGA,,2017
North Korea,3.090846047,0.236197646,0.326334367,0.09091,3.240918411,0.929487551,1.370885848,PRK,,2017
Northern Ireland,4.105620951,0.262630818,1.142527033,0.523496694,7.464269628,1.229126303,1.141166585,,,2017
Northern Mariana Islands,3.097054851,0.258128155,0.487045264,0.195841391,3.300622423,0.791444313,1.466785518,MNP,,2017
Norway,3.77191037,0.21148384,0.856901351,0.570362636,7.58550276,0.832286146,1.419002531,NOR,,2017
Oceania,3.164264932,0.214379284,0.419198688,0.110456792,3.209405976,0.740219226,1.194757379,,,2017
Oman,3.433950596,0.202474315,0.787468172,0.254958105,4.519612245,1.734114025,0.691762726,OMN,,2017
Pakistan,3.331279643,0.256441677,0.574045575,0.154582741,3.823379209,0.656776334,1.532772747,PAK,,2017
Palestine,4.665073696,0.188284615,0.824967604,0.143882739,4.985536173,1.522458359,0.648969585,PSE,,2017
Panama,2.679025335,0.213259243,0.812157759,0.316650159,2.89177947,0.727573217,1.409488824,PAN,,2017
Papua New Guinea,3.168660777,0.209554725,0.411126613,0.104959861,3.192716535,0.738106301,1.212565986,PNG,,2017
Paraguay,2.958839674,0.202425562,1.075628966,0.238288431,6.015213899,0.527617741,2.384385156,PRY,,2017
Peru,2.276321002,0.20329301,0.89070907,0.369215969,4.259925286,0.57855597,1.429938984,PER,,2017
Philippines,2.765176009,0.224422402,0.535512776,0.134855318,3.269720163,0.648897668,0.894194852,PHL,,2017
Poland,2.250471893,0.2078099,0.712264493,0.229484903,3.461075016,0.790931836,2.044346289,POL,,2017
Portugal,4.421460547,0.249372353,0.925814507,0.513078805,5.383260632,0.709413012,1.262904529,PRT,,2017
Puerto Rico,2.726108065,0.212346567,0.942407961,0.412628264,4.683653853,0.906124677,1.684373328,PRI,,2017
Qatar,3.482327199,0.21513953,0.819900233,0.318165203,4.336059258,2.024984391,0.731734267,QAT,,2017
Romania,2.359173586,0.201194504,0.751815255,0.200699608,3.227185705,0.458055547,1.690182797,ROU,,2017
Russia,3.707924954,0.198400238,0.676062578,0.232374931,2.945051049,0.905038024,4.72718224,RUS,,2017
Rwanda,3.869449628,0.16368825,0.625709944,0.115817095,3.702435499,0.570294213,2.342693906,RWA,,2017
Saint Lucia,2.839268377,0.199945008,0.904806335,0.286340742,4.593078109,0.889612331,1.909311301,LCA,,2017
Saint Vincent and the Grenadines,2.859089397,0.196204451,0.880439503,0.274837149,4.524136955,0.793924443,2.240253931,VCT,,2017
Samoa,3.038938064,0.234876448,0.460365666,0.126132452,3.255973091,0.8449052,1.109338591,WSM,,2017
Sao Tome and Principe,3.136313734,0.178482172,0.663348984,0.134839885,2.92152355,0.497440945,1.017289849,STP,,2017
Saudi Arabia,3.536846728,0.205707391,0.817432533,0.289615223,4.754236342,1.710317999,0.679910541,SAU,,2017
Scotland,4.161066674,0.238491751,0.945158748,0.471235871,4.735729553,1.916411952,3.327026542,,,2017
Senegal,3.370497208,0.173616152,0.648156096,0.125290134,2.899331044,0.478694844,0.921068704,SEN,,2017
Serbia,2.570068162,0.20026402,0.699141232,0.187147347,3.404671637,0.441905437,2.018132676,SRB,,2017
Seychelles,2.886513597,0.247689163,0.565984144,0.197452039,3.302670391,0.790406497,0.855464977,SYC,,2017
Sierra Leone,3.581501348,0.165455342,0.624755581,0.109798764,2.880724531,0.496263044,0.936624414,SLE,,2017
Singapore,3.438271073,0.274089874,0.730592157,0.553711598,3.730467149,0.914669467,0.491369093,SGP,,2017
Slovakia,2.401998547,0.208418952,0.71243383,0.235474672,3.444251108,0.678350415,2.500481834,SVK,,2017
Slovenia,2.863277664,0.21182374,0.725343307,0.239635828,3.449772721,0.906051721,2.246826943,SVN,,2017
Solomon Islands,3.15306798,0.210462282,0.427706808,0.094188791,3.214827959,0.703738546,1.134592407,SLB,,2017
Somalia,3.784748218,0.153911905,0.620442197,0.079896098,3.568698397,0.497894413,1.538570576,SOM,,2017
South Africa,3.745870851,0.181937295,0.636612842,0.21471805,3.992829963,0.921499023,1.550514149,ZAF,,2017
South Korea,3.165683958,0.263993599,0.569459331,0.417103482,3.778004548,0.91431869,2.020050127,KOR,,2017
S. Sudan,3.699147429,0.168801216,0.625867462,0.134608136,3.553077372,0.502397863,1.548224958,SSD,,2017
Spain,3.538359291,0.281538914,0.976917325,0.730626189,5.280278593,1.468867753,0.885003363,ESP,,2017
Sri Lanka,3.443329816,0.238044781,0.569094676,0.159144309,3.369917096,0.665203405,0.95045256,LKA,,2017
Sub-Saharan Africa,3.77613174,0.169482537,0.629671507,0.134089569,3.307850193,0.535481492,1.309799199,,,2017
Sudan,3.781450646,0.176166978,0.74753625,0.147024605,4.899048237,1.408446273,0.645813295,SDN,,2017
Suriname,3.973583225,0.186999332,0.869734899,0.307738346,4.568070363,0.701883263,1.761269508,SUR,,2017
Swaziland,4.067654361,0.172883474,0.608545449,0.189603546,3.484456287,0.781634852,1.704300959,SWZ,,2017
Sweden,4.487910994,0.270391825,1.057929806,0.57460828,5.293836611,0.729285356,1.586587835,SWE,,2017
Switzerland,3.708059737,0.262486902,0.953995907,0.573968695,5.359393141,1.006218115,1.379690302,CHE,,2017
Syria,3.582072799,0.188965549,0.809810676,0.159348884,4.974984991,1.510988522,0.621551394,SYR,,2017
Taiwan,3.016542747,0.262938921,0.352168781,0.240476114,3.444566493,0.929591627,2.085573486,TWN,,2017
Tajikistan,2.563960734,0.182117007,0.66626634,0.118225809,2.524336096,0.470767237,2.175246762,TJK,,2017
Tanzania,3.68574814,0.1652154,0.626014209,0.129856671,3.636165086,0.518625021,1.550497138,TZA,,2017
Thailand,3.085057004,0.234878535,0.543035028,0.17320197,3.329593879,0.846267711,0.91277529,THA,Asia,2017
Timor-Leste,3.139086587,0.204231467,0.502838881,0.110934289,3.23266099,0.632557471,0.823884868,TLS,,2017
Togo,3.656724668,0.164575407,0.629456809,0.108107372,2.910944851,0.488984387,0.965300083,TGO,,2017
Tonga,2.918969531,0.235881121,0.462664422,0.125706097,3.297507338,0.762905287,1.136432482,TON,,2017
Trinidad and Tobago,3.329938107,0.177600289,0.898339347,0.389695653,4.629351424,0.731198525,1.71814092,TTO,,2017
Tropical Latin America,3.287515106,0.205441673,1.105779538,0.275815325,6.067562805,1.044753567,2.675569337,,,2017
Tunisia,3.915188518,0.198098809,0.838770903,0.200171737,5.07236144,1.703850216,0.651949617,TUN,,2017
Turkey,3.718657828,0.221252416,0.84877028,0.308941191,3.913400441,1.535723369,0.778078613,TUR,,2017
Turkmenistan,2.823085798,0.197340312,0.668584923,0.201476646,2.567310701,0.517775507,2.477849687,TKM,,2017
Uganda,4.918028157,0.160207616,0.610420456,0.119309487,3.526626139,0.542831835,1.295985777,UGA,,2017
Ukraine,4.071915393,0.190965773,0.687571853,0.172715422,2.941769565,0.711814136,4.686883314,UKR,,2017
United Arab Emirates,2.877426127,0.210717734,0.806413082,0.262206646,4.263912049,2.915549141,0.755908323,ARE,,2017
United Kingdom,4.119523991,0.262952342,1.086837599,0.543053614,4.649860931,1.664000096,1.897051612,GBR,,2017
United States of America,4.835610409,0.333889942,0.651235502,0.512844329,6.635055035,3.45247568,2.040086893,USA,,2017
United States Virgin Islands,2.925181974,0.216788936,0.934872323,0.473119415,4.718337738,0.814065071,2.23257551,VIR,,2017
Uruguay,3.617573732,0.198965428,0.781817206,0.405501535,6.317737652,0.918533109,1.193834927,URY,,2017
Uzbekistan,2.886923629,0.188464037,0.669192862,0.153735024,2.560435029,0.481219598,1.888152517,UZB,,2017
Vanuatu,3.122694974,0.214734299,0.427418834,0.106462399,3.218816111,0.698906286,1.213940731,VUT,,2017
Venezuela,2.814583858,0.205536618,0.779803187,0.282690417,2.866789313,0.645769753,1.370215832,VEN,,2017
Vietnam,2.879450065,0.244662787,0.552653321,0.128466466,2.066871058,0.693534364,1.739465895,VNM,,2017
Wales,4.069288949,0.251599632,0.939462568,0.499407255,4.776626622,1.563403973,1.676438183,,,2017
World,3.44108734,0.254055151,0.598082516,0.211304287,3.764810528,0.941627546,1.396496517,OWID_WRL,,2017
Yemen,4.012346416,0.171690747,0.735682274,0.13262313,4.857207442,1.414725297,0.634412813,YEM,,2017
Zambia,3.641811163,0.165866192,0.605971962,0.142767576,3.599713942,0.51597175,1.633242708,ZMB,,2017
Zimbabwe,3.192789119,0.157963236,0.61124239,0.124443427,3.1109256,0.772648271,1.510943466,ZWE,,2017
